A 马列主义、毛泽东思想、邓小平理论
			B947 佛教组织及寺院
			B948 对佛教的分析和研究
			B949 佛教史
				B949.9 传记
		B95 道教
			B951 道藏
			B952 经文
			B953 戒律
			B955 布教、仪注
			B956 宗派
				B956.1 太平道
				B956.2 天师道（五斗米道）
				B956.3 全真道
				B956.4 真大道教（大道教）
				B956.5 太一道
				B956.9 其他
			B957 道教组织及道观
			B958 对道教的分析与研究
			B959 道教史
				B959.9 传记
		B96 伊斯兰教（回教）
			B961 古兰经（可兰经）
			B963 教义、规律
			B964 圣训及注释
			B965 布教、仪注
			B966 宗派
				B966.1 逊尼派（圣训派）
				B966.2 十叶派（什叶派）
				B966.3 近现代新教派
			B967 教会组织及清真寺
			B968 对伊斯兰教的分析与研究
			B969 伊斯兰教史
				B969.9 传记
		B97 基督教
			B971 圣经
				B971.1 旧约
				B971.2 新约
			B972 教义、神学
			B975 布教、传道、仪注
			B976 宗派
				B976.1 天主教（旧教、公教、罗马公教）
				B976.2 正教（东正教）
				B976.3 新教（耶稣教、更正教）
			B977 教会组织及教堂
			B978 对基督教的分析与研究
			B979 基督教史
				B979.9 传记
		B98 其他宗教
			B981 神道教
			B982 婆罗门教、印度教、耆那教、锡克教
			B983 琐罗亚斯德教（袄教）、波斯教
			B985 犹太教（希伯来教）
			B986 希腊教、罗马教
			B987 呼都（伏都）教（非洲）
			B989.1 其他古代宗教
			B989.2 地方宗教
			B989.3 新兴宗教
		B99 术数、迷信
			B991 世界
			B992 中国
				B992.1 阴阳五行说
				B992.2 占卜
				B992.3 命相
				B992.4 堪舆（风水）
				B992.5 巫医、巫术
				B992.9 其他
C 社会科学总论
	C0 社会科学理论与方法论
		C01 科学研究的方针、政策及其阐述
		C02 科学的哲学思想
		C03 科学的方法论
		C04 术语规范及交流
		C05 与其他科学的关系
		C06 学派及其学说
		C08 资产阶级理论及其评论研究
		C09 社会科学史
	C1 社会科学现状及发展
		C18 专利
		C19 创造发明、先进经验
	C2 社会科学机构、团体、会议
		C20 国际组织
		C23 社会团体
		C24 研究机构
		C26 学术团体、学会、协会
		C27 学术会议、专业会议
		C28 展览会、展览馆、博物馆
			C289 图书馆、信息服务机构、咨询机构
		C29 企业
	C3 社会科学研究方法
		C31 调查方法、工作方法
		C32 统计方法、计算方法
		C33 试验方法与试验设备
		C34 分析、研究与鉴定
		C35 技术条件
		C36 组织管理
		C37 数据处理
		C39 新技术的应用
	C4 社会科学教育与普及
		C40 教育组织、学校
		C41 教学计划、教学大纲、课程研究
		C42 教学方法、教学参考书
		C43 教材、课本
		C44 习题、试题与题解
		C45 教学实验、实习
		C49 社会科学普及读物
	C5 社会科学丛书、文集、连续性出版物
		C51 丛书（汇刻书）、文库
		C52 全集、选集
		C53 论文集
			C532 会议录
			C533 学位论文、毕业论文
			C539 杂著
		C54 年鉴、年刊
		C55 连续出版物
		C56 政府出版物、团体出版物
	C6 社会科学参考工具书
		C61 名词术语、辞典、百科全书（类书）
		C62 手册、指南、一览表、年表
		C63 目录、样本、说明书
		C64 表解、图解、图册、公式、数据、地图
		C65 条例、规程、标准
		C66 统计资料
		C67 参考资料
	C7 社会科学文献检索工具书
	C8 统计学
		C81 统计方法
			C811 统计调查
			C812 统计资料的分析和整理
			C813 统计指数
			C814 统计平均数
			C815 统计图示法
			C816 统计资料管理
			C819 统计技术设备
		C82 专类统计学
			C829 世界各国统计工作
				C829.1 世界
				C829.2 中国
					C829.21 方针、政策
					C829.22 统计制度
					C829.23 统计机构、组织与管理
					C829.29 统计事业史
		C83 统计资料
			C831 世界
			C832 中国
	C91 社会学
		C91-0 社会学理论与方法论
			C91-03 社会学方法论
			C91-06 学派及其研究
			C91-09 社会学史、社会思想史
		C911 社会发展和变迁
		C912 社会结构和社会关系
			C912.1 个人（社会人）
			C912.2 社会团体
			C912.3 社会关系、社会约制
			C912.4 文化人类学、社会人类学
			C912.5 民族学
			C912.6 社会心理、社会行为
				C912.61 阶级心理
				C912.63 社会舆论
				C912.64 群众心理
				C912.66 宗教心理
				C912.67 社会思潮
				C912.68 社会行为
				C912.69 其他
			C912.8 地区社会学
				C912.81 城市社会学
				C912.82 农村社会学
		C913 社会生活和社会问题
			C913.1 恋爱、家庭、婚姻
				C913.11 家庭、家族
				C913.13 婚姻
				C913.14 两性问题
				C913.15 生育
			C913.2 职业
			C913.3 生活与消费
				C913.31 居住
				C913.32 交通
				C913.33 生活日用品供应与消费
			C913.4 文教卫生
			C913.5 青少年问题
			C913.6 老年人问题
				C913.68 妇女问题
				C913.69 残疾人问题
			C913.7 社会福利、社会救济、社会保障
			C913.8 社会病态
			C913.9 其他社会问题
		C914 社会利益
		C915 社会调查和社会分析
		C916 社会工作、社会管理、社会规划
	C92 人口学
		C92-0 人口学理论与方法论
			C92-03 人口学方法论
			C92-05 与其他学科的关系
			C92-09 人口学史
		C921 人口统计学
			C921.2 人口调查法
			C921.3 户籍登记法
		C922 人口地理学
		C923 人口与计划生育
		C924 世界各国人口调查及其研究
			C924.1 世界人口
			C924.2 中国人口
				C924.21 人口政策与制度
				C924.23 人口规划
				C924.24 人口问题研究
				C924.25 人口调查
	C93 管理学
		C93-0 管理学理论与方法论
			C93-02 管理学的哲学基础
			C93-03 管理学方法论
			C93-05 与其他学科的关系
			C93-06 学派及其研究
			C93-09 管理学史
		C931 管理技术与方法
			C931.1 管理数学
			C931.2 管理的方式方法
			C931.3 管理工作、管理人员
			C931.4 办公室工作
				C931.46 文书工作
				C931.47 会议组织与管理
			C931.6 管理信息系统
			C931.9 管理工作自动化
		C932 咨询学
			C932.2 咨询方法与咨询技术
			C932.4 咨询管理
			C932.6 咨询服务
			C932.8 世界各国咨询业
			C932.9 专科咨询学
		C933 领导学
			C933.1 领导体制
			C933.2 领导方法
			C933.3 领导权
			C933.4 领导组织建设
		C934 决策学
		C935 管理计划和控制
		C936 管理组织学
		C939 应用管理学
	C94 系统科学
	C95 民族学
		C95-0 民族学理论与方法论
			C95-05 民族学与其他学科关系
			C95-06 民族学学派
		C951 民族起源、发展、变迁
		C952 民族史志、民族地理
		C953 民俗学
		C954 民族社会形态、社会制度
		C955 民族性、民族心理
		C956 民族融合、民族同化
		C957 民族工作、民族问题
	C96 人才学
		C961 人才培养与人才选拔
			C961.9 人才预测与人才规划
		C962 人才管理
		C963 人才智力开发
		C964 世界各国人才调查及研究
		C965 人才市场
		C969 专门人才学
	C97 劳动科学
		C970 劳动科学基础理论
			C970.2 劳动哲学
			C970.4 劳动心理学
			C970.5 劳动生理学
			C970.7 劳动科学学
		C971 劳动经济学
		C972 劳动法学
		C973 劳动关系学
		C974 劳动管理学
		C975 职业培训
		C976.1 劳动社会学
		C976.2 劳动安全、劳动卫生
		C976.7 劳动计量学
		C976.8 劳动统计学
		C979 社会保障学
D 政治、法律
	D0 政治理论
		D0-0 科学社会主义理论（总论）
		D01 阶级、阶级斗争理论
			D011 阶级的产生与消亡
			D012 阶级矛盾、阶级斗争与社会发展
			D013 社会阶层、利益集团理论
		D02 革命理论
			D021 革命的起源和本质
			D022 各历史阶段的革命
			D023 奴隶革命
			D024 农民革命
			D025 资产阶级革命
			D026 民族民主革命
			D027 无产阶级革命
			D028 不断革命论与革命发展阶段论
		D03 国家理论
			D031 国家的起源、发展和消亡
			D032 国家与民族、国家与人民
			D033 国家政治制度
				D033.1 奴隶制国家
				D033.2 封建制国家
				D033.3 资本主义国家
				D033.4 社会主义国家
			D034 国家体制
				D034.3 最高政权组织
				D034.4 选举
				D034.5 权利与义务
			D035 国家行政管理
				D035.1 国家行政机构
				D035.2 人事管理
				D035.3 公安学
					D035.31 公安管理学
					D035.32 刑事侦察学(犯罪对策学、犯罪侦察学)
					D035.33 保卫学
					D035.34 治安管理学
					D035.35 预审学
					D035.36 消防管理
					D035.37 交通管理
					D035.39 技术装备
				D035.4 监察、监督
				D035.5 地方行政管理、地方自治
		D04 无产阶级革命与无产阶级专政理论
			D041 民主革命与社会主义革命的关系
			D043 无产阶级领导权与革命同盟军
			D044 武装夺取政权的道路
			D045 革命的战略和策略
			D046 无产阶级专政
				D046.1 民主和专政
				D046.3 民主与集中、自由与纪律
			D047 社会主义向共产主义过渡
		D05 政党理论
			D051 政党的起源和本质
			D052 资产阶级政党
			D053 无产阶级政党
			D054 领袖、政党、阶级、群众
		D06 民族、殖民地问题理论
			D062 民族解放运动理论
			D063 民族自决问题
			D064 民族平等与民族团结
			D066 殖民地问题
			D068 战争与和平问题理论
			D069 国际主义与爱国主义
		D07 政治流派和思潮
		D08 其他政治理论问题
			D081 自由、平等、博爱
			D082 民主、人权、民权
			D089 其他
		D09 政治学史、政治思想史
			D091 世界政治思想史
				D091.2 古代
				D091.3 中世纪（476~1640年）
				D091.4 近代（1640~1917年）
				D091.5 现代（1917年~）
				D091.6 社会主义思想史
			D092 中国政治思想史
	D1 国际共产主义运动
		D10 共产主义运动理论
		D11 共产主义运动初期（1846~1864年）
		D12 第一国际（国际工人协会，1864~1876年）
			D121 马克思主义者与小资产阶级思潮的斗争
			D122 第一国际时期小资产阶级思潮
			D125 第一国际会议
		D13 巴黎公社（1871年）
			D139 第一国际解散后的共产主义运动（1877~1889年）
		D14 第二国际（1889~1900年）
			D141 恩格斯领导下的第二国际
			D142 列宁主义者与第二国际修正主义的斗争（1900~1914年）
			D143 第二国际时期修正主义理论
			D145 第二国际会议
		D15 十月社会主义革命（1917年）
		D16 共产国际（第三国际，1919年3月~1943年6月）
			D161 第三国际的准备和成立
			D162 马克思、列宁主义者与机会主义、修正主义的斗争
			D163 第三国际时期修正主义理论
			D165 第三国际会议
			D166 共产国际的解散（1943年6月）
			D169 托派
		D17 共产党、工人党情报局（1947年9月~1956年4月）
			D172 情报局时期的分歧
			D175 情报局会议
			D176 情报局的解散（1956年4月）
		D18 当代国际共产主义运动（1956年4月~）
			D181 当代国际共产主义运动中的分歧
			D185 当代国际代表会议
			D186 各国共产党的相互关系
	D2 中国共产党
		D2-0 党的领导人著作
		D20 建党理论
		D21 党章
			D219 党章学习参考资料
		D22 党的组织、会议及文献
			D220 中央组织、会议及其文献
			D229 会议文献的学习参考资料
		D23 党史
			D231 新民主主义革命时期（1919~1949年）
			D232 社会主义革命和建设时期（1949年~）
			D235 党的地方组织史料
			D239 党史参考资料
		D24 党的总路线和总政策
		D25 党的领导
			D251 领导原则与方法
			D252 群众路线
		D26 党的建设
			D261 思想建设
				D261.1 思想教育、路线教育
				D261.2 纠正党内错误思想
				D261.3 党的作风
				D261.4 党内教育
					D261.41 党校
					D261.42 党课
				D261.5 党的宣传工作
			D262 组织建设
				D262.1 组织原则
					D262.11 民主集中制
					D262.12 党的团结与统一
					D262.13 党的纪律
				D262.2 党的组织工作
				D262.3 党的干部工作
				D262.4 建党工作
				D262.6 党的纪律检查工作
			D263 党员
				D263.1 党员标准
					D263.19 预备党员
				D263.2 党员的权利和义务
				D263.3 党性锻炼
				D263.4 组织生活
			D264 整风整党运动
			D267 党的基层工作
				D267.1 厂矿企业
				D267.2 农村、乡镇企业
				D267.3 部队
				D267.4 财贸
				D267.5 国家机关
				D267.6 文教、卫生
				D267.7 街道
				D267.9 其他
		D27 中国共产党与各国共产党的关系
		D29 中国共产主义青年团
			D290 建团理论
			D291 团章
				D291.9 团章学习参考资料
			D292 团的组织、会议及其文献
				D292.9 会议文献的学习参考资料
			D293 团史
			D296 团的建设
				D296.1 思想建设
					D296.19 团校、团课、教材
				D296.2 组织建设
				D296.3 团员
			D297 团的工作
	D33 亚洲各国共产党
	D34 非洲各国共产党
	D35 欧洲各国共产党
	D36 大洋洲各国共产党
	D37 美洲各国共产党
	D4 工人、农民、青年、妇女运动与组织
		D41 工人运动与组织
			D410 工人运动理论
			D411 世界工人运动与组织
				D411.1 五一国际劳动节
				D411.3 国际工人组织与会议
				D411.4 世界工会联合会(世界工联)
				D411.5 产业工会国际组织与会议
				D411.6 其他国际性工会组织
				D411.7 世界工人生活状况
				D411.9 国际工人运动史
			D412 中国工人运动与组织
				D412.0 党对工人运动的领导
				D412.1 工会章程、条例
				D412.2 工人组织与会议
				D412.3 中华全国总工会
				D412.4 产业工会组织与会议
				D412.5 地方工会组织与会议
				D412.6 工会工作
					D412.61 组织工作
					D412.62 思想政治教育工作
					D412.63 职工培训工作
					D412.64 生产工作
					D412.65 文化宣传工作
					D412.66 生活福利工作
					D412.67 财务工作
				D412.7 工人生活状况
				D412.8 地方工人运动与组织
				D412.9 工人运动史
		D42 农民运动与组织
			D420 农民运动理论
			D421 世界农民运动与组织
				D421.7 世界农民生活状况
				D421.9 世界农民运动史
			D422 中国农民运动与组织
				D422.0 党对农民运动的领导
				D422.1 章程、条例
				D422.2 农民组织与会议
				D422.6 农民工作
					D422.61 组织工作
					D422.62 思想政治教育工作
					D422.63 学习
					D422.64 生活
				D422.7 农民生活状况
				D422.8 地方农民运动与组织
				D422.9 农民运动史
		D43 青年、学生运动与组织
			D430 青年、学生运动理论
			D431 世界青年学生运动与组织
				D431.1 世界青年节、世界青年联欢节
				D431.2 国际青年组织与会议
				D431.3 国际学生组织与会议
				D431.4 国际少年儿童会议与活动
				D431.7 世界青年、学生、儿童生活状况
				D431.9 世界青年、学生运动史，青年社会生活史
			D432 中国青年学生运动与组织
				D432.0 党对青年、学生运动的领导
				D432.1 五四青年节
				D432.2 章程、条例
				D432.3 青年组织与会议
				D432.4 学生组织与会议
				D432.5 少年儿童组织与活动
					D432.51 少先队
				D432.6 青年工作
					D432.61 组织工作
					D432.62 思想政治教育工作
					D432.63 学习
					D432.64 生活
				D432.7 青年、学生、儿童生活状况
				D432.8 地方青年、学生运动与组织
				D432.9 青年、学生运动史，青年社会生活史
		D44 妇女运动与组织
			D440 妇女运动理论
			D441 世界妇女运动与组织
				D441.1 三八国际妇女节
				D441.3 国际妇女组织与会议
				D441.4 国际民主妇女联合会(国际民主妇联)
				D441.5 世界母亲大会
				D441.6 国际保卫儿童大会
				D441.7 世界妇女生活状况
				D441.9 世界妇女运动史、妇女社会生活史
			D442 中国妇女运动及组织
				D442.0 党对妇女运动的领导
				D442.1 章程、条例
				D442.2 妇女组织与会议
				D442.3 中华全国妇女联合会(全国妇联)
